,mutation_1,mutation_2,crossover_1,crossover_2
"[-27, -5, -41, -16, 37, -10, 2, 4, 0, 0]",0.0,-90.44834971156834,0.0,0.0
"[-27, -5, -41, -16, 37, -10, 2, 4, -7, 0]",-101.71083896880509,0.0,0.0,0.0
"[-27, -5, -41, -16, 37, -10, 2, 4, -7, -22]",0.0,0.0,0.0,0.0
"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-53.78022036212562,-115.56389541218684,-134.99856453619955,-130.39169699462687
"[-39, -48, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-84.81803931641517,0.0
"[-39, -48, 11, 0, 0, 0, 0, 0, 0, 0]",-112.68540283980906,0.0,0.0,0.0
"[-39, -48, 11, 38, 0, 0, 0, 0, 0, 0]",0.0,-126.02103393523544,0.0,0.0
"[-39, -48, 11, 38, -24, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-128.56834833759928
"[-39, -48, 11, 38, -24, 12, 0, 0, 0, 0]",0.0,-145.79101550150318,0.0,0.0
"[-39, -48, 11, 38, -24, 12, 30, 0, 0, 0]",0.0,0.0,-186.4940979611218,0.0
"[-39, -48, 11, 38, -24, 12, 30, -44, 0, 0]",0.0,-235.61685504775065,0.0,0.0
"[-39, -48, 11, 38, -24, 12, 30, -44, -48, 0]",0.0,0.0,-241.59831101464016,0.0
"[-39, -48, 11, 38, -24, 12, 30, -44, -48, -16]",0.0,0.0,0.0,0.0
"[25, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-95.14842398426707,-101.2718481159555,-95.2652213558675,-100.76330316967949
"[25, 35, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-52.13227981509044,0.0
"[25, 35, 28, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-52.81045111724756,0.0
"[25, 35, 28, -4, 0, 0, 0, 0, 0, 0]",0.0,0.0,-54.499327309335506,0.0
"[25, 35, 28, -4, 10, 0, 0, 0, 0, 0]",0.0,0.0,-91.09154010578703,0.0
"[25, 35, 28, -4, 10, 43, 0, 0, 0, 0]",0.0,0.0,-131.582512146211,0.0
"[25, 35, 28, -4, 10, 43, 46, 0, 0, 0]",0.0,0.0,0.0,-143.47670455625493
"[25, 35, 28, -4, 10, 43, 46, -23, 0, 0]",0.0,-192.84694719124698,0.0,0.0
"[25, 35, 28, -4, 10, 43, 46, -23, 50, 0]",0.0,0.0,-197.60228706785347,0.0
"[25, 35, 28, -4, 10, 43, 46, -23, 50, 16]",0.0,0.0,0.0,0.0
"[49, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-154.9163471135696,-179.4926703495264,-192.87253505160646,-201.08166306738917
"[49, 0, 33, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-68.73889309995059,0.0
"[49, 0, 33, 7, 0, 0, 0, 0, 0, 0]",0.0,0.0,-81.62872434502538,0.0
"[49, 0, 33, 7, 26, 0, 0, 0, 0, 0]",0.0,-94.87544910814074,0.0,0.0
"[49, 0, 33, 7, 26, -24, 0, 0, 0, 0]",0.0,0.0,-99.30619025609693,0.0
"[49, 0, 33, 7, 26, -24, -13, 0, 0, 0]",0.0,0.0,0.0,-134.17440238014245
"[49, 0, 33, 7, 26, -24, -13, 42, 0, 0]",0.0,0.0,-153.15241616920878,0.0
"[49, 0, 33, 7, 26, -24, -13, 42, 31, 0]",0.0,0.0,0.0,-160.91230225891528
"[49, 0, 33, 7, 26, -24, -13, 42, 31, 20]",0.0,0.0,0.0,0.0
"[-49, 41, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-132.3357286269087,0.0,0.0
"[-49, 41, 49, 0, 0, 0, 0, 0, 0, 0]",-132.90649522295496,0.0,0.0,0.0
"[-49, 41, 49, 6, 0, 0, 0, 0, 0, 0]",0.0,-154.63056808227492,0.0,0.0
"[-49, 41, 49, 6, 33, 0, 0, 0, 0, 0]",0.0,-155.1189135934375,0.0,0.0
"[-49, 41, 49, 6, 33, -4, 0, 0, 0, 0]",0.0,0.0,-201.1352428379792,0.0
"[-49, 41, 49, 6, 33, -4, 48, 0, 0, 0]",-216.2234777420968,0.0,0.0,-201.12906477133424
"[-49, 41, 49, 6, 33, -4, 48, 0, -26, 0]",0.0,0.0,0.0,-246.74611146721858
"[-49, 41, 49, 6, 33, -4, 48, 0, -26, -38]",0.0,0.0,0.0,0.0
"[43, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-128.47864277444833,-185.4210846272107,-76.74100267798174,-86.00707669456932
"[43, -44, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-86.49587078784133,0.0,0.0
"[43, -44, 22, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-88.55328490319575,0.0
"[43, -44, 22, 11, 0, 0, 0, 0, 0, 0]",0.0,-88.69335565801534,0.0,0.0
"[43, -44, 22, 11, -1, 0, 0, 0, 0, 0]",0.0,0.0,-124.97455696901035,0.0
"[43, -44, 22, 11, -1, -41, 0, 0, 0, 0]",0.0,-126.3718505490895,0.0,0.0
"[43, -44, 22, 11, -1, -41, -7, 0, 0, 0]",0.0,0.0,-129.84364702217223,0.0
"[43, -44, 22, 11, -1, -41, -7, -12, 0, 0]",0.0,0.0,0.0,-184.29758844340418
"[43, -44, 22, 11, -1, -41, -7, -12, 53, 0]",0.0,0.0,-200.71119683456834,0.0
"[43, -44, 22, 11, -1, -41, -7, -12, 53, -27]",0.0,0.0,0.0,0.0
"[-35, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-94.35354722076647,-129.8571919301444,-79.61472220471822,-129.72571759459254
"[-35, -14, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-71.43635150127282,0.0,0.0
"[-35, -14, 45, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-119.50460538387728,-71.42083497059708
"[-35, -14, 45, 0, -48, 0, 0, 0, 0, 0]",0.0,0.0,-153.28004073609912,0.0
"[-35, -14, 45, 0, -48, 42, 0, 0, 0, 0]",-161.0013967488272,0.0,0.0,0.0
"[-35, -14, 45, 0, -48, 42, -18, 0, 0, 0]",0.0,0.0,-161.836401656107,0.0
"[-35, -14, 45, 0, -48, 42, -18, -5, 0, 0]",-162.4582317092951,0.0,0.0,0.0
"[-35, -14, 45, 0, -48, 42, -18, -5, -4, 0]",0.0,0.0,0.0,-166.15154120453542
"[-35, -14, 45, 0, -48, 42, -18, -5, -4, 14]",0.0,0.0,0.0,0.0
"[45, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-151.900950215257,-123.47285915145372,-183.37244115029506,-173.44651762387844
"[45, 37, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-66.03827024762249,0.0,0.0
"[45, 37, 3, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-72.92879688477096,0.0
"[45, 37, 3, -17, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-77.1946073845934
"[45, 37, 3, -17, 15, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-84.5804674100528
"[45, 37, 3, -17, 15, -18, 0, 0, 0, 0]",0.0,0.0,-134.6755425364681,0.0
"[45, 37, 3, -17, 15, -18, 51, 0, 0, 0]",0.0,0.0,0.0,-183.7434760835235
"[45, 37, 3, -17, 15, -18, 51, 50, 0, 0]",0.0,0.0,0.0,-233.56198337170707
"[45, 37, 3, -17, 15, -18, 51, 50, 50, 0]",-237.96566398181574,0.0,0.0,0.0
"[45, 37, 3, -17, 15, -18, 51, 50, 50, 15]",0.0,0.0,0.0,0.0
"[-19, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-26.351160149053907,-16.24201911929086,-63.86955374283009,-89.43335730684915
"[-19, -14, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-29.558712198511554,0.0,0.0
"[-19, -14, -27, 0, 0, 0, 0, 0, 0, 0]",-34.648793248791364,0.0,0.0,0.0
"[-19, -14, -27, -14, 0, 0, 0, 0, 0, 0]",0.0,0.0,-43.20519504002472,0.0
"[-19, -14, -27, -14, 21, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-54.014361623586396
"[-19, -14, -27, -14, 21, -22, 0, 0, 0, 0]",-100.00366152678879,0.0,0.0,0.0
"[-19, -14, -27, -14, 21, -22, -46, 0, 0, 0]",0.0,0.0,-119.44626682695689,0.0
"[-19, -14, -27, -14, 21, -22, -46, -30, 0, 0]",0.0,-237.76885244905498,0.0,0.0
"[-19, -14, -27, -14, 21, -22, -46, -30, 0, -1]",0.0,0.0,0.0,0.0
"[39, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-87.66983291537179,-109.07735389566986,-86.73945799570475,-117.11586425730783
"[39, 49, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-105.76183216815049
"[39, 49, -36, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-106.00986929127258,0.0
"[39, 49, -36, 4, 0, 0, 0, 0, 0, 0]",0.0,0.0,-107.67913788238648,0.0
"[39, 49, -36, 4, 10, 0, 0, 0, 0, 0]",0.0,-136.5118858501439,0.0,0.0
"[39, 49, -36, 4, 10, -36, 0, 0, 0, 0]",0.0,0.0,-188.04319310135125,0.0
"[39, 49, -36, 4, 10, -36, -49, 0, 0, 0]",0.0,0.0,-199.18435637594885,0.0
